2,1,2000,Saving,withdraw,2016-05-28 02:21:55.029182,3000
2,1,1000,Saving,withdraw,2016-05-28 02:22:55.370388,4000
2,1,500,Saving,withdraw,2016-05-28 02:37:33.464997,4500
2,1,500,Saving,withdraw,2016-05-28 02:38:27.808029,4000
2,1,2500,Saving,withdraw,2016-05-28 17:07:33.091778,1500
2,1,1000,Saving,transfer,2016-05-28 17:18:22.156909,500
2,1,1500,Saving,deposit,2016-05-28 17:35:09.474461,2000
2,1,500,Saving,withdraw,2016-05-28 17:37:01.764682,1500
2,1,5000,Saving,transfer,2016-05-28 22:33:05.233683,-3500
2,1,1000,Saving,transfer,2016-05-28 22:44:36.388453,-4500
2,2,10000,current,withdraw,2016-05-29 20:55:51.086674,-5000
